fiscal_year,entity,line_item,amount_usd,units,source_page,source_url
2022,FASB (standalone entity),total revenue,41054,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FASB content,Note 2 disaggregation: hard copy and other (FASB),83,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FASB content,Note 2 disaggregation: licensing (FASB),17903,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FASB content,Note 2 disaggregation: online subscriptions (FASB),1491,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FASB content,Note 2 disaggregation: print subscriptions (FASB),144,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FASB content,Note 2 disaggregation: total (FASB),19621,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,GASB content,Note 2 disaggregation: hard copy and other (GASB),31,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,GASB content,Note 2 disaggregation: licensing (GASB),1244,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,GASB content,Note 2 disaggregation: online subscriptions (GASB),71,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,GASB content,Note 2 disaggregation: print subscriptions (GASB),200,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,GASB content,Note 2 disaggregation: total (GASB),1546,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: hard copy and other (total),77,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: licensing (total),18325,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: online subscriptions (total),171,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: print subscriptions (total),122,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: total (total),18695,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),45290,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),14404,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),change in net assets,12714,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),contributions - contributed services,217,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,3129,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),investment income - short-term,126,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),licensing and sales revenue (total),18695,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),net assets at end of year,107034,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),total accounting support fees,59694,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),total expenses,70470,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FAF combined (FAF+FASB+GASB),total revenue,78606,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FASB (standalone entity),accounting support fees (FASB),45290,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FASB (standalone entity),net assets at end of year,639,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FASB (standalone entity),total expenses,43630,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FASB (standalone entity),total revenue,45290,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FASB content,Note 2 disaggregation: hard copy and other (FASB),59,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FASB content,Note 2 disaggregation: licensing (FASB),17023,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FASB content,Note 2 disaggregation: online subscriptions (FASB),163,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FASB content,Note 2 disaggregation: print subscriptions (FASB),58,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,FASB content,Note 2 disaggregation: total (FASB),17303,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,GASB content,Note 2 disaggregation: hard copy and other (GASB),18,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,GASB content,Note 2 disaggregation: licensing (GASB),1302,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,GASB content,Note 2 disaggregation: online subscriptions (GASB),8,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,GASB content,Note 2 disaggregation: print subscriptions (GASB),64,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2023,GASB content,Note 2 disaggregation: total (GASB),1392,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2024,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: licensing (total),20766,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202024%20and%202023.pdf
2024,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: subscriptions and other (total),0,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202024%20and%202023.pdf
2024,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: total (total),20766,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202024%20and%202023.pdf
2024,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),42934,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),18582,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),change in net assets,14404,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),contributions - contributed services,122,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,3954,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),investment income - cash and cash equivalents,96,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),licensing revenue (total),20766,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),net assets at end of year,121438,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),total accounting support fees,61516,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),total expenses,73260,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FAF combined (FAF+FASB+GASB),total revenue,82404,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FASB (standalone entity),accounting support fees (FASB),42934,USD thousands,5,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FASB (standalone entity),net assets at end of year,-2569,USD thousands,5,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FASB (standalone entity),total expenses,46072,USD thousands,5,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FASB (standalone entity),total revenue,42934,USD thousands,5,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2024,FASB content,Note 2 disaggregation: licensing (FASB),19191,USD thousands,10,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202024%20and%202023.pdf
2024,FASB content,Note 2 disaggregation: subscriptions and other (FASB),0,USD thousands,10,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202024%20and%202023.pdf
2024,FASB content,Note 2 disaggregation: total (FASB),19191,USD thousands,10,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202024%20and%202023.pdf
2024,GASB content,Note 2 disaggregation: licensing (GASB),1575,USD thousands,10,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202024%20and%202023.pdf
2024,GASB content,Note 2 disaggregation: subscriptions and other (GASB),0,USD thousands,10,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202024%20and%202023.pdf
2024,GASB content,Note 2 disaggregation: total (GASB),1575,USD thousands,10,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202024%20and%202023.pdf
2025,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),32829,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),17298,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),change in net assets,3168,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),contributions - contributed services,210,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,4916,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),investment income - cash and cash equivalents,25,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),licensing revenue (total),20608,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),net assets at end of year,124606,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),total accounting support fees,50127,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),total expenses,75203,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FAF combined (FAF+FASB+GASB),total revenue,70945,USD thousands,3,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FASB (standalone entity),accounting support fees (FASB),32829,USD thousands,5,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FASB (standalone entity),net assets at end of year,-2337,USD thousands,5,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FASB (standalone entity),total expenses,48750,USD thousands,5,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FASB (standalone entity),total revenue,32829,USD thousands,5,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,FASB content,Note 2 disaggregation: licensing (FASB),19138,USD thousands,11,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
2025,GASB content,Note 2 disaggregation: licensing (GASB),1470,USD thousands,11,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202025%20and%202024.pdf
